_id,permit_number,s_name,s_address,city,z_code,p_fee,pa_license_no,contractor_name,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,status,latitude,longitude
7255028,PAA204326,RESIDENCE/STORE FRONT,301  WALTERS WAY,TARENTUM,15084,350,915,DJ DEMO COMPANY,REMOVE TAR & PAINT FROM BUILT UP ROOF; FLOOR TILE FROM STORE FRONT FLOOR; DOOR & WINDOW CAULKING & BASEMENT DUCTWRAP,1430,f,2020-07-01,2020-12-31,JOE YAKUBISIN,t,f,2020-12-31,PAA,COMPLETE,,
7255029,PAA204407,515 EAST 5TH AVENUE,,TARENTUM,15084,350,915,DJ DEMO COMPANY,REMOVE KITCHEN & BEDROOM LINOLEUM,170,f,2020-08-27,2020-12-31,JOE YAKUBISIN,t,f,2020-12-31,PAA,COMPLETE,40.600818594,-79.749725928
7255030,PAA224051,VACANT RESIDENCE,528  CURRY HOLLOW RD,WEST MIFFLIN,15122,450,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE SHEET FLOORING FROM WEST SIDE DUPLEX KITCHEN; 2ND FLOOR BATHROOM ON BOTH SIDES AND DUCT INSULATION FROM EAST SIDE DUPLEX BASEMENT,321,f,2022-01-27,2022-04-29,JOE YAKUBISIN,t,f,2022-04-29,PAA,COMPLETE,40.346703,-79.9166295
7255031,PAA224111,VACANT RESIDENCE,755  RAILROAD ST,SPRINGDALE BORO,15144,350,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE EXTERIOR TRANSIT SIDING & CAULKING AND WINDOW CAULKING,1014,f,2022-03-01,2022-07-29,JOE YAKUBISIN,t,f,2022-07-29,PAA,COMPLETE,40.536963,-79.7799375
7255032,PAA224147,,201  STARR RD,WEST DEER,15076,1250,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE SHOP ENTRANCE DOOR CAULKING; STORAGE ENTRY & SHOP AREA FLOOR TILE; BASEMENT CEMENTITIOUS BOARD & PIEP INSULATION AND ENTRANCE/LOWER SHIP ENTRY BUILT-UP ROOF,4520,f,2022-03-29,2022-07-01,JOE YAKUBISIN,t,f,2022-07-01,PAA,COMPLETE,40.617306,-79.8350175
7255033,PAA224169,FAIR OAKS SENIOR LIVING,2200 WEST LIBERTY AVE,PITTSBURGH,15226,1850,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE 2ND FLOOR SITTING ROOM FIREPLACE INSULATION; 2ND & 3RD FLOOR RESTROOMS FLOOR TILE & MASTIC; STAIR WELL ENTRY FIRE DOOR INSULATION; 1ST FLOOR BOILER ROOM PIPE INSULATION; EXTERIOR WINDOW CAULKING; AND ROOF CAP TAR; FLASHING & ROOFING,13237,f,2022-04-07,2022-09-30,JOE YAKUBISIN,f,f,2022-09-30,PAA,EXPIRED,40.401297,-80.024787
7255034,RES200003,RESIDENCE,111  OVERLOOK DR,PITTSBURGH,15216,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",COURTESY NOTIFICATION - PIPE INSULATION IN BASEMENT,50,t,2020-01-13,2020-01-14,ELIZABETH LETURGEY,t,f,2020-01-14,RES,COMPLETE,40.388751,-80.0507115
7255035,RES200004,RESIDENCE,857  ASHDALE ST,PITTSBURGH,15210,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",COURTESY NOTIFICATION - REMOVE DUCT SEAM TAPE IN BASEMENT,5,t,2020-01-14,2020-01-15,ELIZABETH LETURGEY,t,f,2020-01-15,RES,COMPLETE,40.414419,-79.9993575
7255036,RES200014,RESIDENCE,37  CARLETON DR,SCOTT,15243,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",COURTESY NOTIFICATION - REMOVE BASEMENT FLOOR TILE & MASTIC AND 2ND FLOOR BATHROOMS SHEET FLOORING,436,t,2020-03-10,2020-05-01,ELIZABETH LETURGEY,t,f,2020-05-01,RES,COMPLETE,40.374216,-80.079102
7255037,RES200015,RESIDENTIAL,1405  ROCKLAND AVE,PITTSBURGH,15216,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE BASEMENT DUCT WRAP,120,t,2020-03-02,2020-05-01,CALI FEENEY,t,f,2020-05-01,RES,COMPLETE,40.412871,-80.019999
