_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC
77457682,0184N00108000000,"5718 INTERBORO AVE, PITTSBURGH, PA 15207",5718, ,,INTERBORO,AVE,,,PITTSBURGH,PA,15207,47,Pittsburgh,131,31st Ward - PITTSBURGH,2014-05-22,2014-05-22,66000,15605,423,37,ESTATE SALE,DE,DEED
77457951,0095A00289000000,"2027 DARTMORE ST, PITTSBURGH, PA 15210",2027, ,,DARTMORE,ST,,,PITTSBURGH,PA,15210,47,Pittsburgh,132,32nd Ward - PITTSBURGH,2014-06-25,2014-06-25,15000,15644,239,37,ESTATE SALE,DE,DEED
77458449,0082L00025000000,"5628 BRYANT ST, PITTSBURGH, PA 15206",5628, ,,BRYANT,ST,,,PITTSBURGH,PA,15206,47,Pittsburgh,111,11th Ward - PITTSBURGH,2014-06-19,2014-06-19,150000,15638,293,37,ESTATE SALE,DE,DEED
77458717,0081M00206000000,"5123 ROSECREST DR, PITTSBURGH, PA 15201",5123, ,,ROSECREST,DR,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2014-06-27,2014-06-27,175500,15647,106,37,ESTATE SALE,DE,DEED
77458943,0243C00134000000,"5912 FREDANNA ST, PITTSBURGH, PA 15207",5912, ,,FREDANNA,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,131,31st Ward - PITTSBURGH,2014-07-07,2014-07-07,82450,15656,114,37,ESTATE SALE,DE,DEED
77459704,0030A00306000000,"3116 JANE ST, PITTSBURGH, PA 15203",3116, ,,JANE,ST,,,PITTSBURGH,PA,15203,47,Pittsburgh,116,16th Ward - PITTSBURGH,2014-07-15,2014-07-15,42000,15666,465,37,ESTATE SALE,DE,DEED
77459795,0023M00071000000,"504 E NORTH AVE, PITTSBURGH, PA 15212",504, ,E,NORTH,AVE,,,PITTSBURGH,PA,15212,47,Pittsburgh,123,23rd Ward - PITTSBURGH,2022-08-03,2022-07-21,25000,19004,450,37,ESTATE SALE,CO,CORRECTIVE DEED
77460364,0176A00262000000,"7529 ROSEMARY RD, PITTSBURGH, PA 15221",7529, ,,ROSEMARY,RD,,,PITTSBURGH,PA,15221,47,Pittsburgh,114,14th Ward - PITTSBURGH,2014-07-17,2014-07-17,245000,15669,511,37,ESTATE SALE,DE,DEED
77460387,0041B00103000000,"1231 TYNDALL ST, PITTSBURGH, PA 15204",1231, ,,TYNDALL,ST,,,PITTSBURGH,PA,15204,47,Pittsburgh,120,20th Ward - PITTSBURGH,2014-07-18,2014-07-18,32000,15671,211,37,ESTATE SALE,FD,FIDUCIARY DEED
77460622,0004L00177000000,"410 WILLIAM ST, PITTSBURGH, PA 15211",410, ,,WILLIAM,ST,,,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,2014-07-22,2014-07-22,74000,15673,367,37,ESTATE SALE,DE,DEED
77460666,0026D00206000000,"424 SAPPHIRE WAY, PITTSBURGH, PA 15224",424, ,,SAPPHIRE,WAY,,,PITTSBURGH,PA,15224,47,Pittsburgh,108,8th Ward - PITTSBURGH,2014-07-24,2014-07-24,89600,15677,419,37,ESTATE SALE,DE,DEED
77460864,0178E00001000000,"160 HOMESTEAD ST, PITTSBURGH, PA 15218",160, ,,HOMESTEAD,ST,,,PITTSBURGH,PA,15218,47,Pittsburgh,114,14th Ward - PITTSBURGH,2014-07-25,2014-07-25,72000,15678,145,37,ESTATE SALE,DE,DEED
77461576,0084P00151010000,"767 COLLEGE ST, UNIT 100, PITTSBURGH, PA 15232",767, ,,COLLEGE,ST,UNIT,100,PITTSBURGH,PA,15232,47,Pittsburgh,107,7th Ward - PITTSBURGH,2014-07-31,2014-07-31,240000,15684,485,37,ESTATE SALE,DE,DEED
77462395,0081B00047000000,"5519 CAMELIA ST, PITTSBURGH, PA 15201",5519, ,,CAMELIA,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2014-08-07,2014-08-07,90000,15695,416,37,ESTATE SALE,DE,DEED
77462446,0049L00250000000,"4216 CALVIN ST, PITTSBURGH, PA 15201",4216, ,,CALVIN,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,109,9th Ward - PITTSBURGH,2014-08-07,2014-08-07,130000,15695,301,37,ESTATE SALE,FD,FIDUCIARY DEED
77463124,0126L00222000000,"410 LLOYD ST, PITTSBURGH, PA 15208",410, ,,LLOYD,ST,,,PITTSBURGH,PA,15208,47,Pittsburgh,114,14th Ward - PITTSBURGH,2014-08-08,2014-08-08,115000,15697,478,37,ESTATE SALE,DE,DEED
77463362,0095F00103000000,"2122 WALTON AVE, PITTSBURGH, PA 15210",2122, ,,WALTON,AVE,,,PITTSBURGH,PA,15210,47,Pittsburgh,132,32nd Ward - PITTSBURGH,2014-08-20,2014-08-20,74900,15707,487,37,ESTATE SALE,DE,DEED
77463464,0096M00141000000,"2228 GLENBURY ST, PITTSBURGH, PA 15234",2228, ,,GLENBURY,ST,,,PITTSBURGH,PA,15234,47,Pittsburgh,132,32nd Ward - PITTSBURGH,2014-08-26,2014-08-26,69000,15712,527,37,ESTATE SALE,FD,FIDUCIARY DEED
77463545,0088G00077000000,"3307 SHADY AVE, PITTSBURGH, PA 15217",3307, ,,SHADY,AVE,,,PITTSBURGH,PA,15217,47,Pittsburgh,114,14th Ward - PITTSBURGH,2014-08-18,2014-08-18,130000,15704,136,37,ESTATE SALE,DE,DEED
77463676,0085J00126000000,"5524 DUNMOYLE ST, PITTSBURGH, PA 15217",5524, ,,DUNMOYLE,ST,,,PITTSBURGH,PA,15217,47,Pittsburgh,114,14th Ward - PITTSBURGH,2014-08-19,2014-08-19,700000,15705,230,37,ESTATE SALE,DE,DEED
77464143,0040F00016000000,"1583 CLAIRTONICA ST, PITTSBURGH, PA 15205",1583, ,,CLAIRTONICA,ST,,,PITTSBURGH,PA,15205,47,Pittsburgh,128,28th Ward - PITTSBURGH,2014-08-19,2014-08-19,60000,15706,151,37,ESTATE SALE,DE,DEED
77464367,0018J00238000000,"21 KEARNS PL, PITTSBURGH, PA 15205",21, ,,KEARNS,PL,,,PITTSBURGH,PA,15205,47,Pittsburgh,128,28th Ward - PITTSBURGH,2014-08-28,2014-08-28,110000,15715,381,37,ESTATE SALE,DE,DEED
77464553,0086H00249000000,"1676 BEECHWOOD BLVD, PITTSBURGH, PA 15217",1676, ,,BEECHWOOD,BLVD,,,PITTSBURGH,PA,15217,47,Pittsburgh,114,14th Ward - PITTSBURGH,2014-08-19,2014-08-19,621293,15706,496,37,ESTATE SALE,DE,DEED
77464771,0085M00242000000,"708 HASTINGS ST, PITTSBURGH, PA 15206",708, ,,HASTINGS,ST,,,PITTSBURGH,PA,15206,47,Pittsburgh,114,14th Ward - PITTSBURGH,2014-08-27,2014-08-27,303000,15714,463,37,ESTATE SALE,DE,DEED
77464831,0114F00169000000,"1826 WITTMER ST, PITTSBURGH, PA 15212",1826, ,,WITTMER,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,127,27th Ward - PITTSBURGH,2014-08-27,2014-08-27,10000,15715,212,37,ESTATE SALE,FD,FIDUCIARY DEED
77466417,0184E00300000000,"5039 DELEHANTY ST, PITTSBURGH, PA 15207",5039, ,,DELEHANTY,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,131,31st Ward - PITTSBURGH,2014-09-25,2014-09-19,25000,15744,464,37,ESTATE SALE,DE,DEED
77466561,0026D00184000000,"437 TAYLOR ST, PITTSBURGH, PA 15224",437, ,,TAYLOR,ST,,,PITTSBURGH,PA,15224,47,Pittsburgh,108,8th Ward - PITTSBURGH,2014-09-15,2014-09-10,66500,15734,319,37,ESTATE SALE,DE,DEED
